timestamp,Vol1Ex1,Vol1Ex2,Vol1Ex3,Vol1Ex4,Vol1Ex5,Vol2Ex1,Vol2Ex2,Vol2Ex3,Vol2Ex4,Vol2Ex5,Vol3Ex1,Vol3Ex2,Vol3Ex3,Vol3Ex4,Vol3Ex5,Vol4Ex1,Vol4Ex2,Vol4Ex3,Vol4Ex4,Vol4Ex5,Vol5Ex1,Vol5Ex2,Vol5Ex3,Vol5Ex4,Vol5Ex5,Vol6Ex1,Vol6Ex2,Vol6Ex3,Vol6Ex4,Vol6Ex5,Vol7Ex1,Vol7Ex2,Vol7Ex3,Vol7Ex4,Vol7Ex5
1.2691999999999999,85.06039,78.55183,76.86712,89.0294,93.29078,143.1514,138.6319,147.4916,147.634,141.9064,225.753,225.8912,230.7072,225.8037,228.8908,78.55183,76.86712,89.0294,93.29078,85.06039,138.6319,143.1514,147.4916,147.634,141.9064,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.3026,85.57008,78.55183,76.86712,89.0294,93.29078,143.1514,138.6319,146.0976,147.7844,142.0938,225.753,226.3955,230.7939,225.8037,228.9409,78.55183,76.86712,89.0294,93.29078,85.57008,138.6319,143.1514,146.0976,147.7844,142.0938,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.3359999999999999,85.57008,78.55183,76.61642,89.0294,93.41054,143.1514,138.6319,146.0976,147.7844,142.0938,225.753,226.3955,230.7939,225.8037,228.9409,78.55183,76.61642,89.0294,93.41054,85.57008,138.6319,143.1514,146.0976,147.7844,142.0938,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.3694,85.57008,77.50141,76.61642,89.6116,93.41054,143.2333,138.6319,146.0976,147.7844,142.0938,225.7238,226.3955,230.7939,225.8037,228.9409,77.50141,76.61642,89.6116,93.41054,85.57008,138.6319,143.2333,146.0976,147.7844,142.0938,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.4028,85.57008,77.50141,77.67015,89.6116,93.41054,143.2333,138.7158,145.5606,147.8339,141.8254,225.7238,226.1665,230.7111,225.8037,229.3209,77.50141,77.67015,89.6116,93.41054,85.57008,138.7158,143.2333,145.5606,147.8339,141.8254,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.4362,85.57008,77.50141,77.67015,89.6116,93.87665,143.2333,138.7158,145.5606,147.8339,141.8254,225.7238,226.1665,230.7111,225.72,229.3209,77.50141,77.67015,89.6116,93.87665,85.57008,138.7158,143.2333,145.5606,147.8339,141.8254,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.4696,86.01819,77.30422,77.67015,89.6116,93.87665,143.7552,139.276,145.5606,147.8339,141.8254,226.7636,226.1665,230.7111,225.72,229.3209,77.30422,77.67015,89.6116,93.87665,86.01819,139.276,143.7552,145.5606,147.8339,141.8254,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.503,86.01819,77.30422,77.67015,89.19219,93.87665,143.7552,139.276,145.7054,147.1254,141.7215,226.7636,226.0925,230.5964,225.72,229.0168,77.30422,77.67015,89.19219,93.87665,86.01819,139.276,143.7552,145.7054,147.1254,141.7215,192.1117,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.5364,86.01819,77.30422,77.67015,89.19219,93.62106,143.7552,139.276,145.7054,147.1254,141.7215,226.7636,226.0925,230.5964,226.0132,229.0168,77.30422,77.67015,89.19219,93.62106,86.01819,139.276,143.7552,145.7054,147.1254,141.7215,192.1117,172.0753,172.9728,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
1.5697999999999999,86.08443,77.31474,77.55861,88.96655,93.62106,143.2819,139.276,145.7054,147.1254,141.7215,226.6159,226.0925,230.5964,226.0132,229.0168,77.31474,77.55861,88.96655,93.62106,86.08443,139.276,143.2819,145.7054,147.1254,141.7215,192.1117,172.0753,172.9728,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
